youtube_link,p1_character,p2_character
https://www.youtube.com/embed/hKoh9_oDwCY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Rosalina
https://www.youtube.com/embed/9CiSzewgOB4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Inkling
https://www.youtube.com/embed/Yei8iVcfJ_s?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sonic,Rosalina
https://www.youtube.com/embed/ZaN2eMaQ8js?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Greninja
https://www.youtube.com/embed/_p8MmFoZz0g?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pikachu,Sonic
https://www.youtube.com/embed/etfQMsU-UnE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Rosalina,Greninja
https://www.youtube.com/embed/e9KcF6aRhbo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,Greninja
https://www.youtube.com/embed/v28FvEugvnc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Daisy,Palutena
https://www.youtube.com/embed/zS08ha50v3A?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sonic,Rosalina
https://www.youtube.com/embed/3Mu8pPI_zmU?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sonic,Roy
https://www.youtube.com/embed/RTNQJNwqrvM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Greninja
https://www.youtube.com/embed/EIh9bEfSQ_E?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Inkling,Palutena
https://www.youtube.com/embed/_k68Maale5w?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,Roy
https://www.youtube.com/embed/0zL8P3fR08w?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Wolf,Greninja
https://www.youtube.com/embed/avn6Plfw2a0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Sonic
https://www.youtube.com/embed/6fS5-y0VTgk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Palutena,Daisy
https://www.youtube.com/embed/XUN51hm9zx8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Pac-Man
https://www.youtube.com/embed/xPwUeRpwMhs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Palutena,Bowser
https://www.youtube.com/embed/bgWpg0jEuAs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Rosalina,Luigi
https://www.youtube.com/embed/Uz_xf8psMac?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Terry
https://www.youtube.com/embed/tdIQzzVJ4D8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Byleth,R.O.B.
